Date,Close
2/16/2018,75.7
2/20/2018,72.86
2/21/2018,72.96
2/22/2018,75.03
2/23/2018,75.41
2/26/2018,76.9
2/27/2018,75.57
2/28/2018,75.41
3/1/2018,74.13
3/2/2018,75.15
3/5/2018,75.14
3/6/2018,71.79
3/7/2018,71.43
3/8/2018,69.75
3/9/2018,70.49
3/12/2018,70.67
3/13/2018,71.17
3/14/2018,70.65
3/15/2018,70.63
3/16/2018,70.99
3/19/2018,70.34
3/20/2018,71.56
3/21/2018,70.14
3/22/2018,68.89
3/23/2018,67.88
3/26/2018,70.28
3/27/2018,68.51
3/28/2018,69.18
3/29/2018,69.43
4/2/2018,68.98
4/3/2018,69.53
4/4/2018,71.86
4/5/2018,72.44
4/6/2018,72.29
4/9/2018,71.48
4/10/2018,72.79
4/11/2018,72.82
4/12/2018,72.43
4/13/2018,71.52
4/16/2018,72
4/17/2018,72.45
4/18/2018,72.53
4/19/2018,70.98
4/20/2018,70.32
4/23/2018,70.95
4/24/2018,70.53
4/25/2018,71.14
4/26/2018,71.88
4/27/2018,72.85
4/30/2018,72.6
5/1/2018,71.07
5/2/2018,71.45
5/3/2018,71.15
5/4/2018,71.05
5/7/2018,69.33
5/8/2018,69.42
5/9/2018,69.93
5/10/2018,70.24
5/11/2018,70.25
5/14/2018,72.9
5/15/2018,73.08
5/16/2018,75.23
5/17/2018,75.83
5/18/2018,75.94
5/21/2018,76.87
5/22/2018,75.47
5/23/2018,71.17
5/24/2018,70.94
5/25/2018,71.21
5/29/2018,71.7
5/30/2018,73.47
5/31/2018,72.89
6/1/2018,72.8
6/4/2018,76.35
6/5/2018,78.5
6/6/2018,77.9
6/7/2018,78.35
6/8/2018,78.02
6/11/2018,79.06
6/12/2018,79.07
6/13/2018,78.02
6/14/2018,77.22
6/15/2018,77.25
6/18/2018,77.12
6/19/2018,76.57
6/20/2018,75.39
6/21/2018,76.14
6/22/2018,76.04
6/25/2018,76.84
6/26/2018,76.33
6/27/2018,76.87
6/28/2018,75.6
6/29/2018,76.12
7/2/2018,75.77
7/3/2018,76.63
7/5/2018,76.55
7/6/2018,76.79
7/9/2018,77.76
7/10/2018,78.3
7/11/2018,77.58
7/12/2018,76.5
7/13/2018,77.72
7/16/2018,77.21
7/17/2018,77.27
7/18/2018,76.85
7/19/2018,78.46
7/20/2018,77.76
7/23/2018,78.69
7/24/2018,79.36
7/25/2018,79.99
7/26/2018,79.86
7/27/2018,80.13
7/30/2018,81.21
7/31/2018,80.68
8/1/2018,78.95
8/2/2018,80.76
8/3/2018,81.45
8/6/2018,81.61
8/7/2018,82.24
8/8/2018,82.39
8/9/2018,82.62
8/10/2018,82.71
8/13/2018,82.06
8/14/2018,82.68
8/15/2018,80.69
8/16/2018,82.07
8/17/2018,83.04
8/20/2018,83.32
8/21/2018,83.27
8/22/2018,85.94
8/23/2018,86.71
8/24/2018,87.31
8/27/2018,86.6
8/28/2018,86.7
8/29/2018,87.63
8/30/2018,87.31
8/31/2018,87.5
9/4/2018,88.95
9/5/2018,88.6
9/6/2018,88.88
9/7/2018,88.74
9/10/2018,89.26
9/11/2018,88.8
9/12/2018,88.65
9/13/2018,88.08
9/14/2018,87.94
9/17/2018,87.28
9/18/2018,87.68
9/19/2018,87.16
9/20/2018,87.38
9/21/2018,87.31
9/24/2018,87.24
9/25/2018,87.31
9/26/2018,87.89
9/27/2018,87.51
9/28/2018,88.21
10/1/2018,88.47
10/2/2018,86.62
10/3/2018,85.97
10/4/2018,84.84
10/5/2018,84.52
10/8/2018,85.4
10/9/2018,85.66
10/10/2018,85.2
10/11/2018,82.8
10/12/2018,84.61
10/15/2018,84.6
10/16/2018,85.81
10/17/2018,84.42
10/18/2018,83.36
10/19/2018,82.02
10/22/2018,83.23
10/23/2018,82.67
10/24/2018,82.27
10/25/2018,83.83
10/26/2018,81.94
10/29/2018,84.1
10/30/2018,85.77
10/31/2018,83.63
11/1/2018,84.23
11/2/2018,84.41
11/5/2018,85.35
11/6/2018,85.59
11/7/2018,86.76
11/8/2018,87.6
11/9/2018,86.94
11/12/2018,85.47
11/13/2018,84.32
11/14/2018,83.13
11/15/2018,80.76
11/16/2018,79.68
11/19/2018,77.79
11/20/2018,69.03
11/21/2018,69.26
11/23/2018,67.35
11/26/2018,69.25
11/27/2018,71.38
11/28/2018,71.88
11/29/2018,71.17
11/30/2018,70.96
12/3/2018,72.34
12/4/2018,69.31
12/6/2018,69.54
12/7/2018,67.81
12/10/2018,68.32
12/11/2018,66.78
12/12/2018,67.79
12/13/2018,66.68
12/14/2018,67.17
12/17/2018,64.32
12/18/2018,65.31
12/19/2018,62.83
12/20/2018,61.7
12/21/2018,61.13
12/24/2018,61.55
12/26/2018,65.11
12/27/2018,64.71
12/28/2018,64.96
12/31/2018,66.09
1/2/2019,66.44
1/3/2019,65.53
1/4/2019,66.43
1/7/2019,69.68
1/8/2019,69.61
1/9/2019,70.29
1/10/2019,68.29
1/11/2019,69.61
1/14/2019,68.84
1/15/2019,68.21
1/16/2019,67.85
1/17/2019,69.37
1/18/2019,70.68
1/22/2019,70.28
1/23/2019,70.32
1/24/2019,70.61
1/25/2019,72.39
1/28/2019,72.12
1/29/2019,71.7
1/30/2019,72.33
1/31/2019,73
2/1/2019,71.17
2/4/2019,72.44
2/5/2019,72.77
2/6/2019,72.51
2/7/2019,71.86
2/8/2019,70.88
2/11/2019,70.15
2/12/2019,70.41
2/13/2019,72.57
2/14/2019,72.18
2/15/2019,72.84
2/19/2019,73.3
2/20/2019,72.71
2/21/2019,72.03
2/22/2019,72.25
2/25/2019,73.1
2/26/2019,72.29
2/27/2019,73.02
2/28/2019,72.64
3/1/2019,72.94
3/4/2019,72.67
3/5/2019,76
3/6/2019,76.9
3/7/2019,76.17
3/8/2019,75.81
3/11/2019,76.27
3/12/2019,76.18
3/13/2019,77.12
3/14/2019,76.49
3/15/2019,76.66
3/18/2019,77.88
3/19/2019,78.46
3/20/2019,77.54
3/21/2019,79.49
3/22/2019,78.32
3/25/2019,78.53
3/26/2019,79.63
3/27/2019,79.82
3/28/2019,80.32
3/29/2019,80.26
4/1/2019,79.97
4/2/2019,79.46
4/3/2019,79.31
4/4/2019,81.38
4/5/2019,80.94
4/8/2019,81.93
4/9/2019,80.66
4/10/2019,80.75
4/11/2019,80.45
4/12/2019,80.73
4/15/2019,81.98
4/16/2019,81.97
4/17/2019,82.68
4/18/2019,83.26
4/22/2019,82.02
4/23/2019,82.16
4/24/2019,82.88
4/25/2019,81.74
4/26/2019,77.12
4/29/2019,77.8
4/30/2019,77.42
5/1/2019,75.67
5/2/2019,76.42
5/3/2019,75.94
5/6/2019,75.98
5/7/2019,75.04
5/8/2019,75.41
5/9/2019,75.11
5/10/2019,74.64
5/13/2019,71.68
5/14/2019,71.26
5/15/2019,70.81
5/16/2019,70.78
5/17/2019,70.89
5/20/2019,72.08
5/21/2019,71.96
5/22/2019,77.56
5/23/2019,79.4
5/24/2019,81.57
5/28/2019,80.77
5/29/2019,79.64
5/30/2019,80.39
5/31/2019,80.45
6/3/2019,82.95
6/4/2019,85.85
6/5/2019,85.49
6/6/2019,85.7
6/7/2019,86.85
6/10/2019,87.55
6/11/2019,87.85
6/12/2019,88.26
6/13/2019,88.3
6/14/2019,87.79
6/17/2019,87.14
6/18/2019,86.47
6/19/2019,86.16
6/20/2019,86.21
6/21/2019,87.6
6/24/2019,86.72
6/25/2019,85.7
6/26/2019,85.59
6/27/2019,85.87
6/28/2019,86.61
7/1/2019,86.94
7/2/2019,87.04
7/3/2019,87.9
7/5/2019,88.64
7/8/2019,88.91
7/9/2019,87.8
7/10/2019,85.85
7/11/2019,86.47
7/12/2019,87.53
7/15/2019,86.8
7/16/2019,88.31
7/17/2019,87.86
7/18/2019,88.5
7/19/2019,88.01
7/22/2019,87.22
7/23/2019,88.54
7/24/2019,89.09
7/25/2019,87.97
7/26/2019,87.06
7/29/2019,87.23
7/30/2019,86.88
7/31/2019,86.4
8/1/2019,82.62
8/2/2019,81.52
8/5/2019,80.79
8/6/2019,82.77
8/7/2019,83.01
8/8/2019,83.8
8/9/2019,82.41
8/12/2019,82.03
8/13/2019,84.24
8/14/2019,81.89
8/15/2019,82.56
8/16/2019,84.21
8/19/2019,86.58
8/20/2019,85.53
8/21/2019,103
8/22/2019,106.32
8/23/2019,103.49
8/26/2019,104.77
8/27/2019,104.7
8/28/2019,106.4
8/29/2019,107.93
8/30/2019,107.04
9/3/2019,106.71
9/4/2019,107.36
9/5/2019,108.54
9/6/2019,109.85
9/9/2019,107.95
9/10/2019,108.83
9/11/2019,108.97
9/12/2019,108.94
9/13/2019,107.99
9/16/2019,106.96
9/17/2019,107.28
9/18/2019,106.97
9/19/2019,107.87
9/20/2019,106.67
9/23/2019,108.78
9/24/2019,107.45
9/25/2019,106.8
9/26/2019,106.29
9/27/2019,106.12
9/30/2019,106.91
10/1/2019,105.94
10/2/2019,105.16
10/3/2019,106.62
10/4/2019,109.1
10/7/2019,107.95
10/8/2019,108.52
10/9/2019,110.36
10/10/2019,110.57
10/11/2019,111.83
10/14/2019,111.15
10/15/2019,111.89
10/16/2019,112.19
10/17/2019,113.23
10/18/2019,112.81
10/21/2019,113.68
10/22/2019,113.19
10/23/2019,111.36
10/24/2019,110.25
10/25/2019,109.02
10/28/2019,109.72
10/29/2019,108.15
10/30/2019,107.93
10/31/2019,106.91
11/1/2019,107.82
11/4/2019,108.77
11/5/2019,110.06
11/6/2019,110.51
11/7/2019,110.59
11/8/2019,110.15
11/11/2019,110.45
11/12/2019,108.35
11/13/2019,108.58
11/14/2019,111.11
11/15/2019,113.21
11/18/2019,111.96
11/19/2019,110.85
11/20/2019,126.43
11/21/2019,127.65
11/22/2019,127.02
11/25/2019,125.19
11/26/2019,126.89
11/27/2019,125.9
11/29/2019,125.01
12/2/2019,123.98
12/3/2019,124.04
12/4/2019,124.52
12/5/2019,124.68
12/6/2019,125.03
12/9/2019,126.45
12/10/2019,125.77
12/11/2019,125.8
12/12/2019,127.52
12/13/2019,127.22
12/16/2019,125.96
12/17/2019,128.38
12/18/2019,128.08
12/19/2019,128.7
12/20/2019,129.15
12/23/2019,128.34
12/24/2019,128.55
12/26/2019,128.89
12/27/2019,129.21
12/30/2019,128.89
12/31/2019,128.21
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
